"customer_id","email","total_orders","customer_revenue"
"C0100","carl.holmes21@urbanthreads.co.uk","1","34.72"
"C0019","naomi.watkins12@urbanthreads.co.uk","1","41.85"
"C0131","charlotte.robinson32@urbanthreads.co.uk","1","49.38"
"C0140","francesca.white52@urbanthreads.co.uk","2","138.72"
"C0087","eric.taylor27@urbanthreads.co.uk","2","280.76"
"C0111","brett.marsh8@urbanthreads.co.uk","3","58.16"
"C0013","stacey.miller70@urbanthreads.co.uk","3","72.29"
"C0103","anne.brady35@urbanthreads.co.uk","3","132.72"
"C0025","damien.wallace72@urbanthreads.co.uk","3","136.49"
"C0049","malcolm.jones49@urbanthreads.co.uk","3","144.97"
