"customer_id","email","total_orders","customer_revenue"
"C0169","nathan.butcher69@urbanthreads.co.uk","14","713.74"
"C0040","diane.lloyd55@urbanthreads.co.uk","13","1060.62"
"C0054","holly.kelly34@urbanthreads.co.uk","13","727.25"
"C0154","gordon.evans55@urbanthreads.co.uk","13","334.87"
"C0179","paul.davey59@urbanthreads.co.uk","12","1072.38"
"C0174","debra.campbell44@urbanthreads.co.uk","12","1049.79"
"C0021","joanna.long30@urbanthreads.co.uk","12","908.50"
"C0026","aaron.pritchard26@urbanthreads.co.uk","12","784.92"
"C0118","nicole.davies28@urbanthreads.co.uk","12","351.96"
"C0104","gareth.sullivan82@urbanthreads.co.uk","11","737.94"
