customer_id,first_name,last_name,email,city,postcode,country,signup_date
C0001,Ruth,Griffiths,ruth.griffiths82@urbanthreads.co.uk,Duncanbury,E81 0AD,UK,2024-03-31
C0002,Donald,Lowe,donald.lowe15@urbanthreads.co.uk,New Joeside,DT79 0GS,UK,2024-07-04
C0003,Ricky,Bryan,ricky.bryan4@urbanthreads.co.uk,Timothyland,CB55 0TX,UK,2024-01-18
C0004,Gemma,Ferguson,gemma.ferguson95@urbanthreads.co.uk,Teresastad,L1A 4DJ,UK,2025-08-17
C0005,Oliver,Palmer,oliver.palmer36@urbanthreads.co.uk,Woodsstad,N53 1ZG,UK,2024-12-01
C0006,Duncan,Humphries,duncan.humphries32@urbanthreads.co.uk,Dixonside,N03 5RL,UK,2023-12-04
C0007,Phillip,Johnston,phillip.johnston29@urbanthreads.co.uk,Phillipfort,WV72 2JX,UK,2024-12-05
C0008,Marcus,Morris,marcus.morris18@urbanthreads.co.uk,Bartlettfurt,DT2 1BE,UK,2024-02-09
C0009,Teresa,Walsh,teresa.walsh95@urbanthreads.co.uk,Andersonfurt,PH78 8AE,UK,2025-03-26
C0010,Paula,Myers,paula.myers14@urbanthreads.co.uk,Nathanport,CW70 8GW,UK,2025-09-21
C0011,Kenneth,Taylor,kenneth.taylor87@urbanthreads.co.uk,Ruthhaven,L2F 8WA,UK,2025-01-21
C0012,Brandon,Jones,brandon.jones95@urbanthreads.co.uk,West Mohammadbury,L9 1UD,UK,2025-05-26
C0013,Stacey,Miller,stacey.miller70@urbanthreads.co.uk,Lake Alice,G4J 3XH,UK,2025-04-19
C0014,Graeme,Matthews,graeme.matthews12@urbanthreads.co.uk,Jenniferhaven,CM33 5AY,UK,2024-12-17
C0015,Bernard,Fox,bernard.fox76@urbanthreads.co.uk,North Lindseyton,E05 8JL,UK,2025-03-16
C0016,Danielle,Stevens,danielle.stevens55@urbanthreads.co.uk,Lake Alexandra,W3U 6HE,UK,2023-12-28
C0017,Katy,Williams,katy.williams5@urbanthreads.co.uk,Aliton,SA1A 5EJ,UK,2024-03-10
C0018,Karl,Wilkinson,karl.wilkinson4@urbanthreads.co.uk,South Justin,LL3 7XE,UK,2023-11-22
C0019,Naomi,Watkins,naomi.watkins12@urbanthreads.co.uk,North Frankburgh,LU73 0GR,UK,2023-10-15
C0020,Janet,Pritchard,janet.pritchard28@urbanthreads.co.uk,Hussainside,SP7E 4HB,UK,2025-01-05
C0021,Joanna,Long,joanna.long30@urbanthreads.co.uk,Kevinton,W8W 0WD,UK,2025-08-05
C0022,Christian,Rees,christian.rees65@urbanthreads.co.uk,Lake Damianfurt,L9 9DS,UK,2025-03-07
C0023,Carole,Armstrong,carole.armstrong78@urbanthreads.co.uk,Elliotborough,SP5H 6FN,UK,2024-10-03
